customer_id,age,gender,city,account_type,account_balance,monthly_spend,tenure_months,is_active,credit_score
C001,25,Female,Mumbai,Savings,45000,12000,18,Yes,720
C002,32,Male,Bangalore,Current,150000,40000,36,Yes,680
C003,45,Male,Delhi,Savings,85000,22000,60,Yes,740
C004,29,Female,Pune,Savings,32000,9000,12,No,650
C005,38,Male,Hyderabad,Current,210000,50000,48,Yes,710
C006,41,Female,Chennai,Savings,98000,18000,72,Yes,760
C007,23,Male,Ahmedabad,Savings,15000,6000,6,Yes,630
C008,35,Female,Mumbai,Current,175000,42000,30,Yes,700
C009,50,Male,Kolkata,Savings,67000,14000,84,No,690
C010,27,Female,Bangalore,Savings,41000,11000,20,Yes,725
C011,34,Male,Pune,Current,125000,38000,28,Yes,675
C012,46,Female,Delhi,Savings,93000,21000,65,Yes,745
C013,31,Male,Mumbai,Savings,52000,15000,24,Yes,710
C014,39,Female,Hyderabad,Current,198000,47000,50,No,695
C015,28,Male,Chennai,Savings,36000,10000,14,Yes,660
C016,44,Female,Bangalore,Current,220000,52000,70,Yes,755
C017,26,Male,Pune,Savings,28000,8000,10,Yes,640
C018,37,Female,Mumbai,Current,165000,41000,40,Yes,705
C019,52,Male,Delhi,Savings,102000,19000,90,No,720
C020,33,Female,Hyderabad,Savings,48000,13000,22,Yes,690
C021,29,Male,Chennai,Current,98000,26000,18,Yes,670
C022,41,Female,Bangalore,Savings,88000,17000,55,Yes,735
C023,36,Male,Mumbai,Current,145000,39000,34,Yes,700
C024,47,Female,Pune,Savings,92000,20000,68,No,730
C025,24,Male,Ahmedabad,Savings,22000,7000,8,Yes,620
C026,40,Female,Delhi,Current,205000,48000,60,Yes,750
C027,35,Male,Bangalore,Savings,61000,16000,30,Yes,695
C028,49,Female,Mumbai,Savings,99000,21000,80,No,740
C029,28,Male,Pune,Current,115000,30000,16,Yes,680
C030,42,Female,Hyderabad,Savings,87000,18000,58,Yes,725
C031,31,Male,Chennai,Savings,43000,12000,26,Yes,690
C032,38,Female,Bangalore,Current,190000,46000,45,Yes,710
C033,53,Male,Delhi,Savings,108000,23000,95,No,735
C034,27,Female,Mumbai,Savings,39000,10500,15,Yes,665
C035,34,Male,Pune,Current,132000,36000,32,Yes,685
C036,46,Female,Hyderabad,Savings,94000,20000,66,Yes,745
C037,22,Male,Ahmedabad,Savings,18000,5000,5,Yes,610
C038,39,Female,Chennai,Current,170000,44000,42,Yes,720
C039,48,Male,Bangalore,Savings,91000,19000,75,No,705
C040,30,Female,Mumbai,Savings,47000,13500,21,Yes,700
C041,35,Male,Delhi,Current,160000,41000,38,Yes,690
C042,44,Female,Pune,Savings,86000,17500,62,Yes,730
C043,26,Male,Hyderabad,Savings,29000,8500,11,Yes,650
C044,51,Female,Chennai,Current,225000,54000,88,No,760
C045,32,Male,Bangalore,Savings,56000,14500,27,Yes,700
C046,41,Female,Mumbai,Current,185000,45000,53,Yes,715
C047,29,Male,Pune,Savings,34000,9500,13,Yes,655
C048,37,Female,Delhi,Savings,79000,16500,44,Yes,720
C049,54,Male,Hyderabad,Current,240000,58000,92,No,770
C050,33,Female,Chennai,Savings,49000,14000,23,Yes,705
